[1201/130616.488:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1201/131534.096:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1203/201648.467:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201653.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201658.475:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201703.479:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201708.554:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201713.558:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201718.562:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201723.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201728.612:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201733.618:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201738.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201743.626:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201748.631:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201753.643:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201758.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201803.651:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201808.654:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201813.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201818.664:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201823.667:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201828.673:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201833.676:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201838.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201843.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201848.695:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201853.699:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201858.704:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201903.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201908.725:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201913.729:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201918.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201923.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201928.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201933.763:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201938.769:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201943.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201948.777:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201953.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/201958.783:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1203/202003.788:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
